gaze_child,Time
6,0.0
6,0.1
1,0.2
1,0.3
1,0.4
1,0.5
1,0.6
3,0.7
3,0.8
3,0.9
1,1.0
1,1.1
1,1.2
1,1.3
2,1.4
2,1.5
2,1.6
1,1.7
1,1.8
1,1.9
1,2.0
1,2.1
1,2.2
1,2.3
4,2.4
4,2.5
1,2.6
1,2.7
1,2.8
1,2.9
1,3.0
2,3.1
2,3.2
2,3.3
2,3.4
2,3.5
2,3.6
2,3.7
2,3.8
2,3.9
2,4.0
2,4.1
2,4.2
2,4.3
2,4.4
2,4.5
2,4.6
2,4.7
2,4.8
2,4.9
2,5.0
2,5.1
2,5.2
2,5.3
2,5.4
2,5.5
2,5.6
1,5.7
1,5.8
1,5.9
1,6.0
2,6.1
2,6.2
4,6.3
4,6.4
4,6.5
4,6.6
1,6.7
1,6.8
1,6.9
1,7.0
1,7.1
1,7.2
1,7.3
1,7.4
1,7.5
1,7.6
2,7.7
2,7.8
2,7.9
2,8.0
2,8.1
2,8.2
1,8.3
1,8.4
1,8.5
1,8.6
3,8.7
3,8.8
1,8.9
1,9.0
1,9.1
1,9.2
1,9.3
1,9.4
1,9.5
1,9.6
1,9.7
1,9.8
1,9.9
1,10.0
1,10.1
1,10.2
1,10.3
7,10.4
7,10.5
7,10.6
7,10.7
7,10.8
7,10.9
7,11.0
7,11.1
7,11.2
1,11.3
1,11.4
1,11.5
1,11.6
2,11.7
2,11.8
2,11.9
2,12.0
2,12.1
2,12.2
2,12.3
2,12.4
2,12.5
2,12.6
2,12.7
2,12.8
2,12.9
2,13.0
2,13.1
2,13.2
2,13.3
2,13.4
2,13.5
2,13.6
2,13.7
2,13.8
2,13.9
2,14.0
2,14.1
2,14.2
2,14.3
2,14.4
2,14.5
2,14.6
2,14.7
2,14.8
2,14.9
2,15.0
2,15.1
2,15.2
2,15.3
2,15.4
2,15.5
2,15.6
2,15.7
2,15.8
2,15.9
2,16.0
2,16.1
2,16.2
2,16.3
2,16.4
2,16.5
2,16.6
2,16.7
2,16.8
2,16.9
2,17.0
2,17.1
2,17.2
2,17.3
2,17.4
2,17.5
2,17.6
2,17.7
2,17.8
2,17.9
2,18.0
2,18.1
2,18.2
2,18.3
2,18.4
2,18.5
2,18.6
2,18.7
2,18.8
2,18.9
2,19.0
2,19.1
2,19.2
2,19.3
2,19.4
2,19.5
2,19.6
2,19.7
2,19.8
2,19.9
2,20.0
2,20.1
2,20.2
2,20.3
2,20.4
2,20.5
2,20.6
2,20.7
2,20.8
2,20.9
2,21.0
2,21.1
2,21.2
2,21.3
2,21.4
2,21.5
2,21.6
2,21.7
